Timestamp,Speaker,Text
[00:02:49],Joe Rogan,Are you going to do another run?
[00:02:53],Elon Musk,No.
[00:02:53],Joe Rogan,"No, that's it?"
[00:02:54],Elon Musk,Yes.
[00:02:54],Joe Rogan,"Oh, I see."
[00:02:55],Elon Musk,"I said we're doing 20. We did 50,000. 50,000 hats, and that was a million dollars. I thought, ""Okay. Well, we'll sellsomething for 10 million,"" and that was 20,000 flamethrowers at $500 each. They went fast."
[00:03:19],Joe Rogan,"Yeah. How do you have the time? How do you have the time to do that though? I mean, I understand that it's not abig deal in terms of all the other things you do, but how do you have time to do anything? I just -- I don'tunderstand your time management skills."
[00:03:31],Elon Musk,"I mean, I didn't spend much time on this flamethrower. I mean, to be totally frank, it's actually just a roofing torchwith an air rifle cover. It's not a real flamethrower."
[00:03:43],Joe Rogan,"Which is why it says, ""Not a flamethrower."""
[00:03:45],Elon Musk,"That's why we were very clear, this is not actually a flamethrower. And, also, we are told that various countrieswould ban shipping of it, that they would ban flamethrowers. So, we're very -- To solve this problem for all of thecustoms agencies, we labeled it, ""Not a flamethrower."""
[00:04:02],Joe Rogan,Did it work? Was it effective?
[00:04:06],Elon Musk,I don't know. I think so. Yes.
[00:04:07],Joe Rogan,So far.
[00:04:07],Elon Musk,Yes.
[00:04:08],Joe Rogan,"Now, but you do-"
[00:04:09],Elon Musk,Because they said you cannot ship a flamethrower.
[00:04:11],Joe Rogan,"But you do so many different things. Forget about the flamethrower. Like, how do you do all that other shit? Like,how does one decide to fix LA traffic by drilling holes in the ground? And who do you even approach with that? Like,when you have this idea, who do you talk to about that?"
[00:04:27],Elon Musk,"I mean, I'm not saying it's going to be successful or something, you know. It's not like asserting that it's going to besuccessful. But so far, I've lived in LA for 16 years, and the traffic has always been terrible. And so, I don't see anyother, like, ideas for improving the traffic. So, in desperation, we're going to dig a tunnel. And maybe that tunnelwill be successful and maybe it won't."
[00:04:59],Joe Rogan,I'm listening.
[00:05:01],Elon Musk,Yeah. I'm not trying to convince you it's going to work.
[00:05:04],Joe Rogan,And are the people that you-
[00:05:05],Elon Musk,"I mean, or anyone."
[00:05:06],Joe Rogan,"But you are starting this though. This is actually a project you're starting to implement, right."
[00:05:11],Elon Musk,"Yeah, yeah, no. We've dug about a mile. It's quite long. It takes a long time to walk it."
[00:05:17],Joe Rogan,"Yeah. Now, when you're doing this, what is the ultimate plan? The ultimate plan is to have these in major cities,and anywhere there's mass congestion, and just try it out in LA first?"
[00:05:26],Elon Musk,"Yeah. It's in LA because I mostly live in LA. That's the reason. It's a terrible place to dig tunnels. This is one of theworst places to dig tunnels mostly because of the paperwork. You all think it's like, ""What about seismic?"" It's like,actually, both tunnels are very safe in earthquakes."
[00:05:45],Joe Rogan,Why is that?
[00:05:46],Elon Musk,"Earthquakes are essentially a surface phenomenon. It's like waves on the ocean. So, if there's a storm, you want tobe in a submarine. So, being in a tunnel is like being in a submarine. Now, the way the tunnel is constructed, it'sconstructed out of these interlocking segments, kind of like a snake. It's sort of like a snake exoskeleton withdouble seals."
[00:06:15],Elon Musk,"And so, even when the ground moves, the tunnel actually is able to shift along with the ground like an undergroundsnake, and it doesn't crack or break. And it's extremely unlikely that both seals would be broken. And it's capable oftaking five atmospheres of pressure. It's waterproof, methane-proof, well, gas-proof of any kind, and meets allCalifornia seismic requirements."
[00:06:46],Joe Rogan,"So, when you have this idea, who do you bring this to?"
[00:06:50],Elon Musk,I'm not sure what you mean by that.
[00:06:51],Joe Rogan,"Well, you're implementing it. So, you're digging holes in the ground."
[00:06:54],Elon Musk,Yes.
[00:06:54],Joe Rogan,"Like, you have to bring it to someone that lets you do it."
[00:06:58],Elon Musk,"Yes. There are some engineers from SpaceX who thought it would be cool to do this. And the guy who runs it, like,day-to-day is Steve Davis. He's a longtime SpaceX engineer. He is great. So, Steve was like, ""I'd like to help makethis happen."" I was like, ""Cool."" So, we started off with digging a hole in the ground. It's got like a permit for a pit,like pit, and just dug a big pit."
[00:07:34],Joe Rogan,"And you have to tell them what the pit's for, or you just said, ""Hey, we just want to dig a hole."""
[00:07:38],Elon Musk,I just filled up this form.
[00:07:41],Joe Rogan,That's it?
[00:07:43],Elon Musk,"Yeah, it was a pit in our parking lot."
[00:07:45],Joe Rogan,"But do you have to give them some sort of a blueprint for your ultimate idea? And do they have to approve it? Like,how does that work?"
[00:07:51],Elon Musk,Now. We just started off with a pit.
[00:07:52],Joe Rogan,Okay.
[00:07:52],Elon Musk,"A big pit. And, you know, it's not really -- You know, they don't really care about the existential nature of a pit. Youjust say like, ""I want a pit."""
[00:08:03],Joe Rogan,Right.
[00:08:04],Elon Musk,"Yeah. And it's a hole in the ground. So then, we got the permit for the pit, and we dug the pit, and we dug it in, like,I don't know, three days, two to three days. Actually, I think two, 48 hours, something like that because Eric Carrsaid he was coming by for the Hype. He's going to attend the Hyperloop Competition. which is like a studentcompetition we have for who can make the fastest part in the Hyperloop. And he was coming."
[00:08:33],Elon Musk,"The finals are going to be on Sunday afternoon. And so, Eric is coming by on Sunday afternoon. He's like, ""Youknow, we should dig this pit, and then like show Eric."" So, this was like Friday morning. And then, yeah. So, it'sabout a little over 48 hours later, we dug the pit. There was like wind 24/7. Oh, 24. 48 straight hours, somethinglike that. And dug this big pit, and we're like, ""Show Eric the pit."" It's like, obviously, it's just a pit. But, hey, a holein the ground is better than no hole in the ground."
[00:09:09],Joe Rogan,"And what did you tell him about this pit? I mean, you just said this is the beginning of this idea."
[00:09:13],Elon Musk,Yes.
[00:09:13],Joe Rogan,We're going to build tunnels under LA to help funnel traffic better.
[00:09:17],Elon Musk,Yes.
[00:09:17],Joe Rogan,"And they just go, ""Okay."" But we've joked around about this in the podcast before to like what if a person can go tothe people that run the city and go, ""Hey, I want to dig some holes on the ground and put some tunnels in there,""and they go ""Oh, yeah, okay."""
[00:09:31],Elon Musk,Not the only one with a hole in the ground.
[00:09:32],Joe Rogan,But it's a-
[00:09:33],Elon Musk,People dig holes in the ground all time.
[00:09:35],Joe Rogan,"But my question is, like, I know how much time you must be spending on your Tesla factory. I know how much timeyou must be spending on SpaceX. And yet, you still have time to dig holes under the ground in LA, and come upwith these ideas, and then implement them. Like-"
[00:09:49],Elon Musk,I have a million ideas.
[00:09:50],Joe Rogan,I'm sure you do.
[00:09:51],Elon Musk,There's no shortage of that. Yeah.
[00:09:54],Joe Rogan,I just don't know how you manage your time. I don't understand it. It doesn't seem -- It doesn't even seem humanlypossible.
[00:10:00],Elon Musk,"You know, I do, basically -- I think, people, like, don't totally understand what I do with my time. They think, like, I'ma business guy or something like that. Like my Wikipedia page says business magnate."
[00:10:14],Joe Rogan,What would you call yourself?
[00:10:15],Elon Musk,A business magnet. Can someone please change my Wikipedia page to magnet?
[00:10:21],Joe Rogan,They'll change it for you.
[00:10:21],Elon Musk,Please change.
[00:10:21],Joe Rogan,"Right now, it's probably already changed."
[00:10:23],Elon Musk,"It's locked. So, somebody has to be able to unlock it and change it to magnet."
[00:10:26],Joe Rogan,Someone will get that.
[00:10:26],Elon Musk,"I want to be a magnet. No, I do engineering, you know, and manufacturing, and that kind of thing. That's like 80%or more of my time."
[00:10:37],Joe Rogan,"Ideas, and then the implementation of those ideas."
[00:10:40],Elon Musk,"Those are like hardcore engineering, like-"
[00:10:42],Joe Rogan,Yeah.
[00:10:42],Elon Musk,"... designing things, you know."
[00:10:44],Joe Rogan,Right.
[00:10:45],Elon Musk,"It's structural, mechanical, electrical, software, user interface, engineering, aerospace engineering."
[00:10:56],Joe Rogan,"But you must understand there's not a whole lot of human beings like you. You know that, right? You're an oddity-"
[00:11:02],Elon Musk,Yes.
[00:11:03],Joe Rogan,... to chimps like me.
[00:11:05],Elon Musk,We're all chimps.
[00:11:06],Joe Rogan,"Yeah, we are."
[00:11:06],Elon Musk,We're one notch. One notch above a chimp.
[00:11:08],Joe Rogan,"Some of us are a little more confused. When I watch you doing all these things, I'm like, ""How does thismotherfucker have all this time, and all this energy, and all these ideas, and then people just let him do thesethings?"""
[00:11:20],Elon Musk,Because I'm an alien.
[00:11:21],Joe Rogan,That's what I've speculated.
[00:11:23],Elon Musk,Yes.
[00:11:24],Joe Rogan,"Then, I'm on record saying this in the past. I wonder."
[00:11:27],Elon Musk,It's true.
[00:11:28],Joe Rogan,"I mean, if there was one? I was like, ""If there was, like, maybe an intelligent being that we created, you know, likesome AI creature that's superior to people, maybe it's just hanging around with us for a little while like you've beendoing, and then fix a bunch of shit."" I mean, that's the way."
[00:11:44],Elon Musk,I might have some mutation or something like that.
[00:11:45],Joe Rogan,You might. Do you think you do?
[00:11:47],Elon Musk,Probably.
[00:11:47],Joe Rogan,"Do you wonder? Like, around normal people, you're like, ""Hmm."" Think, ""What's up with these boring dumbmotherfuckers?"" ever?"
[00:11:56],Elon Musk,"Not bad for a human, but, I think, I will not be able to hold a candle to AI."
[00:12:05],Joe Rogan,You scared the shit out of me when you talk about AI between you and Sam Harris.
[00:12:09],Elon Musk,Oh sure.
[00:12:10],Joe Rogan,I didn't consider it until I had a podcast with Sam once.
[00:12:12],Elon Musk,That's great.
[00:12:12],Joe Rogan,"And he made me shit my pants. Talking about AI, I realized, like, ""Oh, this is a genie that once it's out of the bottle,you're never getting it back in."""
[00:12:22],Elon Musk,That's true.
[00:12:23],Joe Rogan,There was a video that you tweeted about one of those Boston dynamic robots.
[00:12:29],Elon Musk,Yeah.
[00:12:29],Joe Rogan,"And you're like, ""In the future, it will be moving so fast, you can't see it without a strobe light."""
[00:12:34],Elon Musk,Yeah. You can probably do that right now.
[00:12:38],Joe Rogan,"And no one's really paying attention too much other than people like you, or people that are really obsessed withtechnology, all these things are happening. And these robots are -- Do you see the one where PETA put out astatement that you shouldn't kick robots?"
[00:12:52],Elon Musk,It's probably not wise.
[00:12:55],Joe Rogan,For retribution.
[00:12:56],Elon Musk,Their memory is very good.
[00:12:58],Joe Rogan,I bet it's really good.
[00:12:59],Elon Musk,It's really good.
[00:13:00],Joe Rogan,I bet it is.
[00:13:00],Elon Musk,Yes.
[00:13:01],Joe Rogan,And getting better every day.
[00:13:02],Elon Musk,It's really good.
[00:13:03],Joe Rogan,"Are you honestly legitimately concerned about this? Are you -- Is, like, AI one of your main worries in regards to thefuture?"
[00:13:16],Elon Musk,"Yes. It's less of a worry than it used to be, mostly due to taking more of a fatalistic attitude."
[00:13:25],Joe Rogan,"So, you used to have more hope, and you gave up some of it. And, now, you don't worry as much about AI. You'relike, ""This is just what it is."""
[00:13:39],Elon Musk,"Pretty much. Yes, yes, yes."
[00:13:41],Joe Rogan,Was that not? Yes but no.
[00:13:41],Elon Musk,It's not necessarily bad. It's just it's definitely going to be outside of human control.
[00:13:51],Joe Rogan,"Not necessarily bad, right?"
[00:13:53],Elon Musk,"Yes. It's not necessarily bad. It's just outside of human control. Now, the thing that's going to be tricky here is thatit's going to be very tempting to use AI as a weapon. It's going to be very tempting. In fact, it will be used as aweapon. So, the on ramp to serious AI, the danger is going to be more humans using it against each other, I think,most likely. That will be the danger. Yeah."
[00:14:29],Joe Rogan,"How far do you think we are from something that can make its own mind up whether or not something's ethically ormorally correct, or whether or not it wants to do something, or whether or not it wants to improve itself, or whetheror not it wants to protect itself from people or from other AI? How far away are we from something that's reallytruly sentient?"
[00:14:52],Elon Musk,"Well, I mean, you could argue that any group of people, like a company is essentially a cybernetic collective ofpeople and machines. That's what a company is. And then, there are different levels of complexity in the way thesecompanies are formed. And then, there's a sort of like a collective AI in the Google, sort of, Search, Google Search,you know, where we're all sort of plugged in as like nodes on the network, like leaves on a big tree."
[00:15:38],Elon Musk,"And we're all feeding this network with our questions and answers. We're all collectively programming the AI. AndGoogle Plus, all the humans that connect to it, are one giant cybernetic collective. This is also true of Facebook, andTwitter, and Instagram, and all the social networks. They're giant cybernetic collectives."
[00:16:06],Joe Rogan,"Humans and electronics all interfacing, and constantly now, constantly connected."
[00:16:11],Elon Musk,"Yes, constantly."
[00:16:15],Joe Rogan,"One of the things that I've been thinking about a lot over the last few years is that one of the things that drives alot of people crazy is how many people are obsessed with materialism and getting the latest greatest thing. And Iwonder how much of that is -- Well, a lot of it is most certainly fueling technology and innovation. And it almostseems like it's built into us. It's like what we like and what we want that we're fueling this thing that's constantlyaround us all the time."
[00:16:41],Joe Rogan,"And it doesn't seem possible that people are going to pump the brakes. It doesn't seem possible at this stagewhere we're constantly expecting the newest cellphone, the latest Tesla update, the newest MacBook Pro.Everything has to be newer and better. And that's going to lead to some incredible point. And it seems like it's builtinto us. It almost seems like it's an instinct that we're working towards this, that we like it. Our job, just like theants build the anthill, our job is to somehow know how fuel this."
[00:17:18],Elon Musk,"Yes. I mean, I made this comment some years ago, but it feels like we are the biological bootloader for AI.Effectively, we are building it. And then, we're building progressively greater intelligence. And the percentage ofintelligence that is not human is increasing. And, eventually, we will represent a very small percentage ofintelligence. But the AI is informed strangely by the human limbic system. It is, in large part, our id writ large."
[00:18:03],Joe Rogan,How so?
[00:18:05],Elon Musk,"We mentioned all those things, the sort of primal drives. There's all of the things that we like, and hate, and fear.They're all there on the internet. They're a projection of our limbic system. That's true."
[00:18:33],Joe Rogan,"No, it makes sense. And the thinking of it as a -- I mean, thinking of corporations, and just thinking of just humanbeings communicating online through these social media networks in some sort of an organism that's a -- It's acyborg. It's a combination. It's a combination of electronics and biology."
[00:18:53],Elon Musk,"Yeah. This is -- In some measure, like, it's to the success of these online systems. It's sort of a function of how muchlimbic resonance they're able to achieve with people. The more limbic resonance, the more engagement."
[00:19:15],Joe Rogan,"Whereas, like one of the reasons why probably Instagram is more enticing than Twitter."
[00:19:21],Elon Musk,Limbic resonance.
[00:19:22],Joe Rogan,"Yeah. You get more images, more video."
[00:19:25],Elon Musk,Yes.
[00:19:26],Joe Rogan,It's tweaking your system more.
[00:19:27],Elon Musk,Yes.
[00:19:28],Joe Rogan,"Do you worry or wonder, in fact, of what the next step is? I mean, a lot of you didn't see Twitter coming. You know,communicate with 140 characters or 280 now would be a thing that people would be interested in. Like it's goingto excel. It's going to become more connected to us, right?"
[00:19:49],Elon Musk,"Yes. Things are getting more and more connected. They're, at this point, constrained by bandwidth. Ourinput/output is slow, particularly output. Output got worse with thumbs. You know, we used to have input with 10fingers. Now, we have thumbs. But images are just, also, other way of communicating at high bandwidth. You takepictures and you send pictures to people. What sends, that communicates far more information than you cancommunicate with your thumb."
[00:20:18],Joe Rogan,"So, what happened with you where you decided, or you took on a more fatalistic attitude? Like, was there anyspecific thing, or was it just the inevitability of our future?"
[00:20:38],Elon Musk,"I try to convince people to slow down. Slow down AI to regulate AI. That's what's futile. I tried for years, and nobodylistened."
[00:20:51],Joe Rogan,This seems like a scene in a movie-
[00:20:52],Elon Musk,Nobody listened.
[00:20:53],Joe Rogan,... where the the robots are going to fucking takeover. You're freaking me out. Nobody listened?
[00:20:57],Elon Musk,Nobody listened.
[00:20:57],Joe Rogan,No one. Are people more inclined to listen today? It seems like an issue that's brought up more often over the lastfew years than it was maybe 5-10 years ago. It seemed like science fiction.
[00:21:10],Elon Musk,"Maybe they will. So far, they haven't. I think, people don't -- Like, normally, the way that regulations work is veryslow. it's very slow indeed. So, usually, it will be something, some new technology. It will cause damage or death.There will be an outcry. There will be an investigation. Years will pass. There will be some sort of insightscommittee. There will be rule making. Then, there will be oversight, absolutely, of regulations. This all takes manyyears. This is the normal course of things."
[00:21:53],Elon Musk,"If you look at, say, automotive regulations, how long did it take for seatbelts to be implemented, to be required?You know, the auto industry fought seatbelts, I think, for more than a decade. It successfully fought any regulationson seatbelts even though the numbers were extremely obvious. If you had seatbelts on, you would be far less likelyto die or be seriously injured. It was unequivocal. And the industry fought this for years successfully. Eventually,after many, many people died, regulators insisted on seatbelts. This is a -- This time frame is not relevant to AI. Youcan't take 10 years from a point of which it's dangerous. It's too late."
[00:22:47],Joe Rogan,"And you feel like this is decades away or years away from being too late. If you have this fatalistic attitude, and youfeel like it's going -- We're in an almost like a doomsday countdown."
[00:23:07],Elon Musk,It's not necessarily a doomsday countdown. It's a-
[00:23:10],Joe Rogan,Out of control countdown?
[00:23:12],Elon Musk,"Out of control, yeah. People quote the singularity, and that's probably a good way to think about it. It's asingularity. It's hard to predict like a black hole, what happens past the event horizon."
[00:23:23],Joe Rogan,"Right. So, once it's implemented, it's very difficult because it would be able to-"
[00:23:26],Elon Musk,"Once the genie is out of the bottle, what's going to happen?"
[00:23:29],Joe Rogan,Right. And it will be able to improve itself.
[00:23:32],Elon Musk,Yes.
[00:23:34],Joe Rogan,"That's where it gets spooky, right? The idea that it can do thousands of years of innovation very, very quickly."
[00:23:40],Elon Musk,Yeah.
[00:23:42],Joe Rogan,"And, then, it will be just ridiculous."
[00:23:44],Elon Musk,Ridiculous.
[00:23:45],Joe Rogan,"We will be like this ridiculous biological shitting, pissing thing trying to stop the gods. ""No, stop. We're like livingwith a finite lifespan, and watching, you know, Norman Rockwell paintings."""
[00:23:59],Elon Musk,"It could be terrible, and it could be great. It's not clear."
[00:24:03],Joe Rogan,Right.
[00:24:04],Elon Musk,"But one thing is for sure, we will not control it."
[00:24:08],Joe Rogan,"Do you think that it's likely that we will merge somehow or another with this sort of technology, and it'll augmentwhat we are now, or do you think it will replace us?"
[00:24:23],Elon Musk,"Well, that's the scenario. The merge scenario with AI is the one that seems like probably the best. Like if-"
[00:24:33],Joe Rogan,For us?
[00:24:33],Elon Musk,"Yes. Like if you can't beat it, join it. That's-"
[00:24:41],Joe Rogan,"Yes, yeah."
[00:24:41],Elon Musk,"You know. So, from a long-term existential standpoint, that's like the purpose of Neuralink is to create a highbandwidth interface to the brain such that we can be symbiotic with AI because we have a bandwidth problem. Youjust can't communicate through fingers. It's too slow."
[00:25:08],Joe Rogan,And where's Neuralink at right now?
[00:25:13],Elon Musk,"I think. we'll have something interesting to announce in a few months. That's, at least, an order of magnitudebetter than anything else. I think better than, probably, anyone thinks is possible."
[00:25:23],Joe Rogan,How much can you talk about that right now?
[00:25:25],Elon Musk,I don't want to jump the gun on that.
[00:25:28],Joe Rogan,"But what's like the ultimate? What's the idea behind that? Like, what are you trying to accomplish with it? Whatwould you like best case scenario?"
[00:25:37],Joe Rogan,"I think, best case scenario, we effectively merge with AI where AI serves as a tertiary cognition layer, where we'vegot the limbic system. Kind of the, you know, primitive brain essentially. You got the cortex. So, you're currently in asymbiotic relationship. Your cortex and limbic system are in a symbiotic relationship. And, generally, people liketheir cortex, and they like their limbic system. I haven't met anyone who wants to delete their limbic system ordelete their cortex. Everybody seems to like both."
[00:26:12],Elon Musk,"And the cortex is mostly in service to the limbic system. People may think that the thinking part of themselves is incharge, but it's mostly their limbic system that's in charge. And the cortex is trying to make the limbic systemhappy. That's what most of that computing power is. It's launched towards, ""How can I make the limbic systemhappy?"" That's what it's trying to do."
[00:26:38],Elon Musk,"Now, if we do have a third layer, which is the AI extension of yourself, that is also symbiotic. And there's enoughbandwidth between the cortex and the AI extension of yourself, such that the AI doesn't de facto separate. Then,that could be a good outcome. That could be quite a positive outcome for the future."
[00:27:03],Joe Rogan,"So, instead of replacing us, it will radically change our capabilities?"
[00:27:08],Elon Musk,"Yes. It will enable anyone who wants to have super human cognition, anyone who wants. This is not a matter ofearning power because your earning power would be vastly greater after you do it. So, it's just like anyone whowants can just do it in theory. That's the theory. And if that's the case then, and let's say billions of people do it,then the outcome for humanity will be the sum of human will, the sum of billions of people's desire for the future."
[00:27:55],Joe Rogan,That billions of people with enhanced cognitive ability?
[00:27:59],Elon Musk,Yes.
[00:28:00],Joe Rogan,Radically enhanced?
[00:28:00],Elon Musk,Yes.
[00:28:00],Joe Rogan,"And which would be -- It -- But how much different than people today? Like if you had to explain it to a person whodidn't really understand what you're saying, like how much different are you talking about? When you say radicallyimproved, like, what do you mean? You mean mind reading?"
[00:28:19],Elon Musk,"It will be difficult to really appreciate the difference. It's kind of like how much smarter are you with a phone orcomputer than without? You're vastly smarter actually. You know, you can answer any question. If you connect tothe internet, you can answer any question pretty much instantly, any calculation, that your phone's memory isessentially perfect. You can remember flawlessly. Your phone can remember videos, pictures, everything perfectly.That's the-"
[00:28:55],Elon Musk,"Your phone is already an extension of you. You're already a cyborg. You don't even -- What most people don'trealize, they are already a cyborg. That phone is an extension of yourself. It's just that the data rate, the rate atwhich -- The communication rate between you and the cybernetic extension of yourself, that is your phone andcomputer, is slow. It's very slow."
[00:29:22],Elon Musk,"And that is like a tiny straw of information flow between your biological self and your digital self. And we need tomake that tiny straw like a giant river. A huge high band with the interface. It's an interface problem, data rateproblem. It's all the data rate problem that I think we can hang on to human machine symbiosis through the longterm. And then, people may decide that they want to retain their biological self or not. I think they'll probablychoose to retain the biological self."
[00:30:07],Joe Rogan,Versus some sort of Ray Kurzweil scenario where they download themselves into a computer?
[00:30:12],Elon Musk,"You will be essentially snapshotted into a computer at any time. If your biological self dies, you could probably justupload it to a new unit literally."
[00:30:22],Joe Rogan,Pass that whiskey. We're getting crazy over here. This is getting ridiculous.
[00:30:27],Elon Musk,Down the rabbit hole.
[00:30:28],Joe Rogan,"Grab that sucker. Give me some of that. This is too freaky. See, if I was just talking-"
[00:30:34],Elon Musk,"I've been thinking about this for a long time, by the way."
[00:30:35],Joe Rogan,"I believe you. If I was talking to one -- Cheers, by the way."
[00:30:39],Elon Musk,Cheers. It is a great whiskey.
[00:30:40],Joe Rogan,Thank you. I don't know where this came. Who brought this to us?
[00:30:43],Jaime,I'm trying to remember. I can't-
[00:30:45],Joe Rogan,Somebody gave it to us. Old Camp. Whoever it was-
[00:30:47],Elon Musk,It's good.
[00:30:51],Joe Rogan,... thanks.
[00:30:52],Elon Musk,It's good.
[00:30:52],Joe Rogan,"Yeah, it is good. This is just inevitable. Again, going back to when you decided to have this fatalistic viewpoint. So,you weren't -- You tried to warn people. You talked about this pretty extensively. I've read several interviews whereyou talked about this. And then, you just sort of just said, ""Okay, it just is. Let's just-"" And, in a way, bycommunicating the potential for -- I mean, for sure, you're getting the warning out to some people."
[00:31:15],Elon Musk,"Yeah. Yeah. I mean, I was really going on the warning quite a lot. I was warning everyone I could. Yeah, I've metwith Obama and just for one reason, like, ""Better watch out."""
[00:31:32],Joe Rogan,Just talk about AI.
[00:31:33],Elon Musk,Yes.
[00:31:34],Joe Rogan,"And what did he say? So, what about Hillary? Worry about her first. Shh, everybody, quiet."
[00:31:39],Elon Musk,He listened. He certainly listened. I met with Congress. I met with -- I was at a meeting of all 50 governors andtalked about just the AI danger. And I talked to everyone I could. No one seemed to realize where this was going.
[00:32:05],Joe Rogan,"Is it that, or do they just assume that someone smarter than them is already taking care of it? Because whenpeople hear about something like AI, it's almost abstract. It's almost like it's so hard to wrap your head around it."
[00:32:18],Elon Musk,It is.
[00:32:18],Joe Rogan,"By the time it happens, it will be too late?"
[00:32:22],Elon Musk,"Yeah. I think, they didn't quite understand it, or didn't think it was near term, or not sure what to do about it. And Isaid, like, you know, an obvious thing to do is to just establish a committee, government committee, to gaininsight. You know, before you oversight, before you do make regulations, you should like try to understand what'sgoing on. And then, you have an insight committee. Then, once they learn what's going on, you get up to speed.Then, they can make maybe some rules or proposed some rules. And that would be probably a safer way to goabout things."
[00:33:06],Joe Rogan,"It seems -- I mean, I know that it's probably something that the government's supposed to handle, but it seems likeI wouldn't want the -- I don't want the government to handle this."
[00:33:15],Elon Musk,Who do you want to handle this?
[00:33:16],Joe Rogan,I want you to handle this.
[00:33:17],Elon Musk,Oh geez.
[00:33:18],Joe Rogan,"Yeah. I feel like you're the one who could bring the bell better because if Mike Pence starts talking about AI, I'mlike, ""Shut up, bitch. You don't know anything about AI. Come on, man. He doesn't know what he's talking about.""That's just games."
[00:33:28],Elon Musk,"I don't have the power to regulate other companies. I don't if I'm supposed to, but you know."
[00:33:32],Joe Rogan,"Right, but maybe companies could agree. Maybe there could be some sort of a -- What I mean is we haveagreements where you're not supposed to dump toxic waste into the ocean, you're not supposed to do certainthings that could be terribly damaging, even though they would be profitable. Maybe this is one of those things."
[00:33:48],Joe Rogan,"Maybe we should realize that you can't hit the switch on something that's going to be able to think for itself andmake up its own mind as to whether or not it wants to survive or not, and whether or not it thinks you're a threat, orwhether or not it thinks you're useless. Like, ""Why do I keep this dumb finite life form alive? Why? Why keep thisthing around? It's just stupid. It just keeps polluting everything. It's shitting everywhere it goes, lighting everythingon fire, and shooting at each other. Why would I keep this stupid thing alive? Because, sometimes, it makes goodmusic, you know. Sometimes it makes great movies. Sometimes it makes beautiful art, and sometimes -- you know.Sometimes it's cool to hang out with. Like with my-"
[00:34:24],Elon Musk,"Yes, for all those reasons."
[00:34:24],Joe Rogan,"Yeah. For us, those are great reasons."
[00:34:27],Elon Musk,Yes.
[00:34:27],Joe Rogan,"But for anything objective standing outside that go, ""This is definitely a flawed system."" This is like if you went tothe jungle and you watch these chimps engage in warfare and beat each other with wooden sticks."
[00:34:36],Elon Musk,Chimps are really mean.
[00:34:36],Joe Rogan,They're fucking real mean.
[00:34:36],Elon Musk,They're fucking mean.
[00:34:38],Joe Rogan,They're real mean.
[00:34:38],Elon Musk,"I saw a movie, Chimpanzee. I thought it was going to be like some Disney thing. Like, holy cow."
[00:34:39],Joe Rogan,What movie was that?
[00:34:43],Elon Musk,It's called Chimpanzee.
[00:34:44],Joe Rogan,Is it a documentary?
[00:34:46],Elon Musk,"Yeah, yeah. It's kind of like a documentary. I was like, ""Damn, these chimps are mean."""
[00:34:50],Joe Rogan,They're mean.
